2026/9/10 包包专用,#genre#
//更新地址：https://fofa.info/result?qbase64=dWRweHkmJmNpdHk9Ikhhbmd6aG91Ig%3D%3D
山东卫视,http://115.206.160.91:8888/udp/233.50.201.105:5140
江苏卫视,http://115.206.160.91:8888/udp/233.50.201.106:5140
北京卫视,http://115.206.160.91:8888/udp/233.50.201.107:5140
纪实科教,http://115.206.160.91:8888/udp/233.50.202.34:5140
四川卫视,http://115.206.160.91:8888/udp/233.50.201.139:5140
河北卫视,http://115.206.160.91:8888/udp/233.50.201.140:5140
辽宁卫视,http://115.206.160.91:8888/udp/233.50.201.141:5140
贵州卫视,http://115.206.160.91:8888/udp/233.50.201.142:5140
重庆卫视,http://115.206.160.91:8888/udp/233.50.201.143:5140
河南卫视,http://115.206.160.91:8888/udp/233.50.201.144:5140
江西卫视,http://115.206.160.91:8888/udp/233.50.201.145:5140
东南卫视,http://115.206.160.91:8888/udp/233.50.201.146:5140
安徽卫视,http://115.206.160.91:8888/udp/233.50.201.113:5140
湖北卫视,http://115.206.160.91:8888/udp/233.50.201.114:5140
黑龙江卫视,http://115.206.160.91:8888/udp/233.50.201.115:5140
东方卫视,http://115.206.160.91:8888/udp/233.50.201.125:5140
甘肃卫视,http://115.206.160.91:8888/udp/233.50.200.163:5140
海南卫视,http://115.206.160.91:8888/udp/233.50.200.165:5140
广西卫视,http://115.206.160.91:8888/udp/233.50.200.136:5140
云南卫视,http://115.206.160.91:8888/udp/233.50.200.115:5140
吉林卫视,http://115.206.160.91:8888/udp/233.50.202.42:5140
三沙卫视,http://115.206.160.91:8888/udp/233.50.200.175:5140
内蒙古卫视,http://115.206.160.91:8888/udp/233.50.201.148:5140
青海卫视,http://115.206.160.91:8888/udp/233.50.201.65:5140
西藏卫视,http://115.206.160.91:8888/udp/233.50.202.43:5140
陕西卫视,http://115.206.160.91:8888/udp/233.50.201.59:5140
兵团卫视,http://115.206.160.91:8888/udp/233.50.202.44:5140
山西卫视,http://115.206.160.91:8888/udp/233.50.201.51:5140
宁夏卫视,http://115.206.160.91:8888/udp/233.50.202.45:5140
新疆卫视,http://115.206.160.91:8888/udp/233.50.202.46:5140
延边卫视,http://115.206.160.91:8888/udp/233.50.200.184:5140
中国教育1台,http://115.206.160.91:8888/udp/233.50.200.169:5140
中国教育4台,http://115.206.160.91:8888/udp/233.50.200.162:5140
凤凰中文,http://115.206.160.91:8888/udp/233.50.202.35:5140
凤凰资讯,http://115.206.160.91:8888/udp/233.50.202.36:5140
